time,winning_trader,winning_regulator
2023-03-21 18:36:31.893743,CoastClear,Grudge
2023-03-21 18:45:48.112880,Cooperator,SuspiciousForgiving
2023-03-21 18:59:39.669772,Cooperator,SuspiciousGrudge
2023-03-21 19:09:02.612282,Random: 0.8,SuspiciousGrudge
2023-03-21 19:15:47.269791,Cooperator,Grudge
2023-03-21 19:25:59.436898,NceBitten: 5,SuspiciousForgiving
2023-03-21 19:36:13.033369,NceBitten: 5,SuspiciousGrudge
2023-03-21 19:43:00.361346,CoastClear,Grudge
2023-03-21 19:53:02.097850,CoastClear,Grudge
2023-03-21 20:02:23.256607,NceBitten: 5,SuspiciousForgiving
2023-03-21 20:14:44.020304,Random: 0.8,Grudge
2023-03-21 20:24:41.850331,Cooperator,SuspiciousGrudge
2023-03-21 20:31:53.601936,Cooperator,Grudge
2023-03-21 20:38:04.544923,Cooperator,SuspiciousForgiving
2023-03-22 16:44:39.348283,Cooperator,SuspiciousGrudge
2023-03-22 16:51:14.518882,Cooperator,Grudge
2023-03-22 17:00:17.046986,Random: 0.8,SuspiciousGrudge
2023-03-22 17:08:04.004411,CoastClear,SuspiciousForgiving
2023-03-22 17:13:06.385550,Cooperator,SuspiciousForgiving
2023-03-22 17:20:35.403234,CoastClear,Grudge
2023-03-22 17:31:36.395677,NceBitten: 5,SuspiciousGrudge
2023-03-22 17:40:18.023118,Random: 0.8,SuspiciousForgiving
2023-03-22 17:50:49.918230,Cooperator,SuspiciousGrudge
2023-03-22 18:04:18.783085,NceBitten: 5,SuspiciousGrudge
2023-03-22 18:12:27.817026,Cooperator,SuspiciousGrudge
2023-03-22 18:20:50.558052,Cooperator,SuspiciousForgiving
2023-03-22 18:30:44.051670,Cooperator,SuspiciousGrudge
2023-03-22 18:40:07.003927,Careful,Grudge
2023-03-22 18:49:31.452512,Cooperator,Random: 0.2
2023-03-22 19:00:59.100671,Cooperator,SuspiciousGrudge
2023-03-23 17:12:15.266025,CoastClear,Grudge
2023-03-23 17:19:12.539156,Cooperator,Grudge
2023-03-23 17:25:16.793958,Cooperator,SuspiciousGrudge
2023-03-23 17:44:18.567061,NceBitten: 5,SuspiciousGrudge
2023-03-23 17:55:27.907255,Cooperator,SuspiciousGrudge
2023-03-23 18:02:40.433914,Cooperator,SuspiciousForgiving
2023-03-23 18:09:01.925787,NceBitten: 5,SuspiciousGrudge
2023-03-23 18:14:13.204235,NceBitten: 5,SuspiciousGrudge
2023-03-23 18:24:27.105003,NceBitten: 5,SuspiciousGrudge
2023-03-23 20:47:37.152789,CoastClear,SuspiciousForgiving
2023-03-23 21:00:57.272527,CoastClear,SuspiciousForgiving
2023-03-23 21:09:19.897111,Tit For 2 Tats,SuspiciousGrudge
2023-03-23 21:17:29.169887,Cooperator,SuspiciousGrudge
2023-03-23 21:25:50.412092,NceBitten: 5,SuspiciousGrudge
2023-03-23 21:34:24.542396,NceBitten: 5,SuspiciousForgiving
2023-03-23 21:42:01.235558,NceBitten: 5,SuspiciousForgiving
2023-03-23 21:51:28.106918,Careful,SuspiciousForgiving
2023-03-23 22:00:13.352944,Cooperator,SuspiciousForgiving
2023-03-23 22:08:12.981235,Cooperator,SuspiciousGrudge
2023-03-23 22:22:30.665617,Careful,SuspiciousForgiving
2023-03-23 22:29:30.746923,NceBitten: 5,SuspiciousGrudge
2023-03-23 22:38:19.233871,Cooperator,SuspiciousForgiving
2023-03-23 22:48:46.847677,CoastClear,SuspiciousGrudge
2023-03-23 22:52:56.682393,Random: 0.8,SuspiciousForgiving
2023-03-23 23:04:45.721756,Careful,SuspiciousForgiving
2023-03-23 23:16:07.076814,CoastClear,SuspiciousForgiving
2023-03-23 23:24:15.245216,Cooperator,SuspiciousGrudge
